"","k","S","D","S_OVER_D"
"76",77,0.565517619385624,0.454959267980298,1.24300714192751
"77",78,0.531893800917123,0.448121135532813,1.1869420090724
"78",79,0.564080264432716,0.47147139696787,1.19642520852894
"79",80,0.53511625553182,0.41778144380246,1.28085213804958
"80",81,0.596099655096447,0.488642527405476,1.21990948733327
"81",82,0.548229152458097,0.452582707389803,1.21133473176631
"82",83,0.612464636661162,0.466348685558248,1.31331910141015
"83",84,0.56902568753733,0.479992116347721,1.1854896531782
"84",85,0.544936061171728,0.463793554682274,1.17495393299513
"85",86,0.579142271933288,0.466912640661768,1.24036537351496
"86",87,0.573118256850578,0.458067543318241,1.2511653908044
"87",88,0.578534012683613,0.469757161586489,1.23155975042457
"88",89,0.563955971986957,0.46096853705438,1.22341532372399
"89",90,0.562050507285828,0.442027160024818,1.27152934958628
"90",91,0.550704715707945,0.440635631165499,1.2497961507364
"91",92,0.536331955316591,0.462129153539528,1.16056723798689
"92",93,0.542205790274366,0.462442593781482,1.17248237417026
"93",94,0.57243142858677,0.481450101352057,1.18897353428571
"94",95,0.537004312765419,0.448634544534248,1.19697495279351
"95",96,0.565201858908847,0.459036929116872,1.23127753576651
"96",97,0.527840587750396,0.445328783930501,1.18528288940059
"97",98,0.566091185026438,0.472039045944377,1.199246523969
"98",99,0.565012419428475,0.458580242140572,1.23209062996499
"99",100,0.543234102478774,0.430288916352915,1.26248685902293
